El.  	  Z	   A	Spin/Parity  	  Isotopic fraction	  Mag. moment	  num. density (core)	  num. density (mantle)	  num. density (crust)
Sb   	 51	 121	5/2+         	             0.5721	    3.3634   	          7.05027e+30	            1.20824e+29	           2.86761e+30
Sb   	 51	 123	7/2+         	             0.4279	    2.5498   	          7.05027e+30	            1.20824e+29	           2.86761e+30
Te   	 52	 120	0+           	             0.0009	    0        	          4.39881e+31	            1.92157e+29	           1.36818e+28
Te   	 52	 122	0+           	             0.0255	    0        	          4.39881e+31	            1.92157e+29	           1.36818e+28
Te   	 52	 123	1/2+         	             0.0089	   -0.736948 	          4.39881e+31	            1.92157e+29	           1.36818e+28
Te   	 52	 124	0+           	             0.0474	    0        	          4.39881e+31	            1.92157e+29	           1.36818e+28
Te   	 52	 125	1/2+         	             0.0707	   -0.888505 	          4.39881e+31	            1.92157e+29	           1.36818e+28
Te   	 52	 126	0+           	             0.1884	    0        	          4.39881e+31	            1.92157e+29	           1.36818e+28
Te   	 52	 128	0+           	             0.3174	    0        	          4.39881e+31	            1.92157e+29	           1.36818e+28
Te   	 52	 130	0+           	             0.3408	    0        	          4.39881e+31	            1.92157e+29	           1.36818e+28
I    	 53	 127	5/2+         	             1     	    2.81327  	          6.76444e+30	            1.50274e+29	           6.74081e+30
Xe   	 54	 124	0+           	             0.001 	    0        	          0          	            0          	           2.6594e+26
Xe   	 54	 126	0+           	             0.0009	    0        	          0          	            0          	           2.6594e+26
Xe   	 54	 128	0+           	             0.0191	    0        	          0          	            0          	           2.6594e+26
Xe   	 54	 129	1/2+         	             0.264 	   -0.777976 	          0          	            0          	           2.6594e+26
Xe   	 54	 130	0+           	             0.0407	    0        	          0          	            0          	           2.6594e+26
Xe   	 54	 131	3/2+         	             0.2123	    0.6915   	          0          	            0          	           2.6594e+26
Xe   	 54	 132	0+           	             0.2691	    0        	          0          	            0          	           2.6594e+26
Xe   	 54	 134	0+           	             0.1044	    0        	          0          	            0          	           2.6594e+26
